interaction_id	a_alias	b_alias	a_id	b_id
717409	P01130	O75553-6	912086	2871062
717459	Q16656	P17676	3777351	3962824
717741	P17676	rogid:r5ifikVSXuXpcIUa7N8wgy+mezw9606	3962824	9975137
717817	P10747	P08575	2304874	3093536
718245	P29353	P35568	1871880	3143545
718432	Q93084-3	P35568	206436	3143545
720015	complex:A1wBKCfxmXBkKIyi6gCWtgdedM4	B0YJ88	720015	751872
720015	complex:A1wBKCfxmXBkKIyi6gCWtgdedM4	P02776	720015	782387
720015	complex:A1wBKCfxmXBkKIyi6gCWtgdedM4	P08567	720015	4787680
720015	complex:A1wBKCfxmXBkKIyi6gCWtgdedM4	P26038	720015	4949991
720015	complex:A1wBKCfxmXBkKIyi6gCWtgdedM4	P00488	720015	5316100
720957	P43490	P19440	1724893	1864863
720982	P17676	P35638	3962824	4947898
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	P35568	721539	3143545
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	P27986	721539	3503650
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	Q07666	721539	3573425
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	P06213	721539	9769294
721603	Q13191	P35568	1403224	3143545
721612	P14780	complex:a7wI45//YfZJZsvk1oA73ZaxSAg	221385	721612
721612	complex:a7wI45//YfZJZsvk1oA73ZaxSAg	P01033	721612	3497176
721612	complex:a7wI45//YfZJZsvk1oA73ZaxSAg	Q07954	721612	9441770
722053	Q9Y4K3	Q13489	2981808	4170192
722692	P49336	P17676	1820393	3962824
722933	Q13485	P17676	3087482	3962824
723765	Q13094	Q96QH2-2	2970254	16826696
723809	P01130	Q9Y6Q5	912086	5157354
723922	P41182-2	Q9UQL6	2559145	9378084
724093	P15498	P08575	1274382	3093536
724280	Q03692	P08758	1621747	4535951
724319	Q5TD97	Q03060-17	1150008	11792364
724634	P04899	P25025	3047661	4138380
725252	P14780	P16035	221385	1403804
725402	P40189-2	O60674	190090	3976855
726081	P10145	P03956	1033686	1902383
726420	P42224-2	P51681	1004542	3747743
726556	O60488	Q02218	634957	1187339
726741	P41182	Q9UKV0-3	2559145	3363510
726909	NP_001191809	Q13489	596393	4170192
727084	Q68DI0	P25025	856854	4138380
727297	P51685	P13236	1625895	1714665
727356	O43707	P35228-2	2778378	4140270
728735	complex:Yvi+quSMJBg2rMGFtHk903migVs	P21980	728735	3985867
728735	complex:Yvi+quSMJBg2rMGFtHk903migVs	B4DJ51	728735	4264365
728735	complex:Yvi+quSMJBg2rMGFtHk903migVs	NM_002111	728735	14006660
729019	P26441	A0N0L5	3748087	3774440
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	B0YJ88	729038	751872
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	P02776	729038	782387
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	P12814	729038	2123403
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	P51659	729038	2328859
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	O95810	729038	3999763
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	P07996	729038	4741479
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	P08567	729038	4787680
729038	complex:AMo1JjYnYTxMe5OOEfomoIyyEsQ	P26038	729038	4949991
729040	Q03405-3	P39900	1855991	2088394
729532	XP_005246873	P63279	1004542	4600608
729907	B4DJY3	P50281	16941	4802061
730480	P42224	O88907	1004542	3587070
730783	P17676	XP_005255181	3962824	4774660
731216	P49023	P21980	2178303	3985867
731354	P40189	Q05655	190090	1278344
731514	O60603	Q99836-3	735309	1186808
731525	P14780	P15514	221385	3731433
731613	Q08116	Q9BVJ6	381022	4497269
731837	P01130-5	Q8WY64	912086	2728992
731972	P06748-3	P35568	2229096	3143545
732073	Q07912	P08575	1039182	3093536
732647	P39900	P15502	2088394	14006161
733793	A0N0R1	A0N0R1	3968630	3968630
